usuario,visitas,taza_rebote,tiempo_de_visita,actividad_ocupacional,pais
jqjeg71,141,45,86,Docente,IRN
bqyl,165,25,27,Empresario,ETH
ghkwaoj39,51,41,218,Empresario,SWE
srcvflo29,145,42,77,Docente,KOR
ispu,109,44,121,Empresario,NZL
fuvu,73,41,213,Empresario,AUT
rosdp,60,17,41,Estudiante,AUS
tlwfwm,131,33,140,Estudiante,OMN
jrhbxol77,121,37,46,Empresario,NLD
rcxrpi,116,23,73,Docente,ETH
hvhwzs27,113,29,108,Profesional,TUR
hrjs11,160,27,148,Empresario,MRT
jjnmbu,163,23,208,Estudiante,SSD
bkaba,210,44,194,Estudiante,SYR
dfmjmy32,178,38,155,Empresario,CHN
pgzagiiv66,184,44,168,Empresario,SWZ
bcfad,214,34,50,Estudiante,KNA
itewfpu66,25,38,124,Empresario,BRA
wwtebj13,31,44,62,Empresario,MDA
doiclwfq15,81,44,174,Empresario,BLZ
ekuaq,33,40,210,Empresario,CIV
iaqitius,220,17,133,Docente,KEN
zslo,142,17,57,Empresario,PAN
gcpoz,127,17,29,Empresario,ARG
cihi71,191,27,159,Empresario,LAO
qwwvmqf23,23,22,125,Empresario,COK
lkiispup,49,38,194,Empresario,ATG
veve,179,31,37,Docente,LVA
mfow53,60,22,174,Estudiante,DJI
fyxqsj,146,36,176,Empresario,AGO
rroml64,107,45,172,Empresario,TKM
rbzotybp,202,31,84,Docente,ARE
xgfsogjv62,92,38,153,Profesional,CHE
fpml79,178,28,86,Empresario,NAM
blya10,113,42,178,Empresario,OMN
onpyg44,98,31,87,Empresario,BLR
luik69,223,43,108,Profesional,SUR
mgkh81,34,24,40,Empresario,SYR
tnhcg07,140,42,169,Empresario,EGY
xpibzcv,200,20,25,Empresario,ZAF
teax,66,40,34,Docente,DJI
vhtablt33,50,45,152,Empresario,MUS
oequqho10,58,17,84,Estudiante,LAO
ecmjiufg68,151,35,25,Empresario,DEU
dshs,208,26,219,Empresario,KAZ
aljs78,33,23,34,Empresario,MDA
vsmdxca86,69,20,112,Profesional,BOL
qeoauoxd25,110,21,41,Empresario,MAR
lczxjgu04,196,42,41,Empresario,EST
lsbyxrb,143,45,189,Empresario,LUX
ecshmfv12,115,44,208,Empresario,FRO
bwsrfeow82,193,47,139,Profesional,NLD
oydvwam,144,39,69,Empresario,BRA
orbobs75,131,47,66,Empresario,SYC
wzbrryx35,55,22,140,Estudiante,MYS
wnxen25,217,20,188,Empresario,COL
budxr,84,19,93,Empresario,TUV
efjjwq,40,45,121,Empresario,SSD
kiaq00,156,23,119,Empresario,MHL
ytjwn,170,23,26,Empresario,MDG
xcqpucbg52,78,26,41,Empresario,GIN
ewcqx78,86,31,86,Empresario,SDN
cvmjqcl11,52,46,223,Empresario,IRQ
dpdmdxbx,28,37,168,Empresario,STP
gqndu94,92,45,29,Empresario,PRY
zqmnguh,41,47,117,Empresario,BHS
vxjoymja56,91,20,173,Empresario,SWE
jgqpsuyq23,120,23,144,Empresario,MLI
mydabkyp,122,36,120,Profesional,CAN
uknhp,42,24,135,Empresario,TCD
metvyy,60,47,187,Profesional,TON
lpdgxgb13,34,35,89,Profesional,IRN
klcn11,52,31,199,Empresario,CAF
jphzj,36,33,75,Docente,GUY
kncddldv56,67,36,193,Empresario,IRQ
zquanu,142,18,37,Docente,SAU
ghhexcyc,208,27,54,Empresario,BRN
wsnelb19,65,36,24,Empresario,CZE
mxukdmk,187,30,115,Empresario,CRI
dqmb59,71,40,139,Empresario,SYC
djpvp25,175,20,205,Empresario,AGO
zutcw,61,29,179,Empresario,CPV
ntkxxp35,172,46,63,Empresario,TCD
ojeqxmw,170,22,158,Empresario,GRC
ojxyvkpd,28,37,116,Profesional,KWT
obnch,194,29,64,Empresario,CZE
jrmb,223,29,76,Empresario,CHE
qlojol26,201,21,144,Empresario,ETH
mthmbs60,122,42,126,Empresario,CHE
bilagcg69,119,37,208,Docente,ITA
ahtixkl14,56,41,38,Empresario,PER
lncg15,192,43,74,Empresario,ZMB
opgpysbg62,31,40,200,Docente,USA
kkjyoxab,159,42,96,Profesional,BHR
koktll32,200,46,103,Docente,BDI
eyiomw,203,32,189,Empresario,BGR
xwpwayqp,61,30,56,Empresario,QAT
dhzcfoj10,223,28,199,Empresario,GRC
oaki54,159,20,143,Empresario,MDG
jipon38,190,23,150,Empresario,CAF
vcpgzxq,219,22,28,Empresario,BWA
tphhmyv32,100,45,164,Empresario,MYS
tpdhcwzr75,88,23,103,Profesional,NAM
nncfva,134,25,48,Empresario,BWA
qdermzof38,117,35,161,Empresario,ETH
